reviews.text,sentiment,class
"I have had many tablets, Samsung, Asus and old Ipad. This Fire holds its own . The Silk system is not quite as speedy but the lack of bloatware is nice. There is a hack to get more google apps. It's light to hold, the ads are not invasive. I enjoy taking advantage of the Prime benefits. Simple to operate. Would recommend for everyday use and movie/reading music consumption.",Positive,2
"I've had my other Kindle Fire for 5-6 years. It's still working but slowing down. I bought the updated version while it was on sale. I love it! I play games on it, download books, check my email and facebook. It's like a portable mini computer and I wouldn't be without it. I like it better than other people's tablets and you can't beat the price. I bought some for gifts and everybody loves it! I'd recommend it to people of all ages.",Positive,2
"Gave it to my grandkids (ages 3, 4 & 9) for Christmas and they loved it.",Positive,2
I love new Kindle Fire. I love the convenience having books with me all the time being able to have an entire library at my fingertips.,Positive,2
This is a great tablet at a great price! We bought a number of them as raffle prizes for our employee appreciation party and everybody loved them!,Positive,2
I love the Amazon HD8! It is a great tablet for reading and surfing the web! It has a fast processor and amazing resolution. I would definitely purchase this product again.,Positive,2
Great tablet for the price. We have a tendency to go through multiple tablets a year with the little kids. This is a great price and does everything we want for our young kids.,Positive,2
I bought this along with the dot and it’s helpful to use as an intercom,Positive,2
The Alexa show is a great product and the price was even better,Positive,2
Great sound and picture. Been using as a baby monitor. Still new to Alexa so still learning what she can do,Positive,2
I love my Echo Plus!! The hub makes it easy to add devices to my Smarthome and Alexa is a great addition!!,Positive,2
"Bought this for my 3 kids aged 9,7,and 2. They all use it with ease. They each have their own account with appropriate games. We like the protective cover that absorbs drops and falls well.",Positive,2
Got this for two days during the holidays. Very good service,Positive,2
My son loves this tablet. It is easy for him to navigate and extremely durable.,Positive,2
"Gave it to my grandkids(ages 3, 4 & 9) for Christmas and they loved it.",Positive,2
Great product will recommend it to friends and family.,Positive,2
"Easy to use!! Purchased for my nephew, he's 4, he loves it.",Positive,2
We love this table for our 5 y.o. It gives him the sense of independence he wants and me the sense of calmness knowing I can control what he gets on and how long he can spend in screen time!,Positive,2
It's not bad for the novelty of Alexa. Might as well get the echo. Sound it not bad and I'm no audiophile. Might be good when my echo dots come in. Is it worth it? There are better Bluetooth speakers out there.,Positive,2
"Bought for my mom, shes in love with it. Use for netflix myself love the 8' great size and cpu speed.",Positive,2
I bought this tablet for my 8 year old granddaughter. She loves it!!! The display is very clear and easy to see. The set up allows for you to choose child safe settings with PIN protected parent lock to help protect young users from inappropriate content. This is well worth the affordable cost!,Positive,2
I got this tablet so I wouldn't have to pack up my laptop when I went to my boyfriend's when I want to do my online class. This is perfect for that,Positive,2
"I love Alexa! Great sound, unlimited music, used the bulb and synchronized it...Simple 2 use....",Positive,2
Nice smart speaker. I do wish there was a LG TV Alexa skill.,Positive,2
No suprises here. I have owned the 7th generation Kindle before and the 8th generation came as a lighter and better upgrade to the version. Great functionality and awesome reading experience.,Positive,2
Great sound quality. Easy to set up. Easy to use. Looks good too.,Positive,2
Great tablet for reading and game play. Color is great.,Positive,2
"I bought this for my elderly parents that refuse to get a smart phone.They loved it, and feel safer with it. I programmed it to call 911 if they fall and need help. Plus they can see the grand children without any confusion.",Positive,2
This was the perfect gift for my grand kids they love it.,Positive,2
This tablet is easy to use and great for a new user.,Positive,2
like better than the 7 inch Kindle better to read.,Positive,2
My grandson loved this. He is 4 and it was perfect.,Positive,2
Love my Alexa! Having lots of fun asking her questions and enjoy listening to music on it.,Positive,2
I bought this as a gift and it has performed perfectly. Can't beat at this price.,Positive,2
I bought this device for my wife. She has been using a Kindle Fire 7.I wanted something with a bigger screen for her.She likes it very much.,Positive,2
This is a great tablet for the price! Love the pink color!,Positive,2
"Previously had 2 echo Dots in play at my home, so knew I wanted more from my Alexa. Echo show now in kitchen and allows easy review of youtube for entertainment and recipe instructions. Also like streaming music and having the lyrics stream, too!!! Very cool. Looking forward to Alexa learning more and more to respond to my questions on various topics. Hands free is the way to go.",Positive,2
Got this model only because of the sale price and the built in hub that controls my hue strip lights. And....I didn’t want to say google all the time! Sounds like baby talk to me....lol,Positive,2
"I knew this item would be great, but the Echo Show has exceeded my expectations.",Positive,2
I am very satisfied with my purchase my girlfriend is very happy,Positive,2
"Tablet works well, slim design is perfect. Highly recommended to purchase this tablet.",Positive,2
"We love Alexa! Love being able to watch news briefings, seeing the lyrics to songs, and so much more! It's in our kitchen and we use it everyday!",Positive,2
"bought this as a present for the wife, but as I relaxed for the holiday requested six hours of different song play. The wife enjoyed the music as the music emanated through the open areas of our house. The wife received information on measures for recipes, weather updates, etc. this will be one of those classic gifts.",Positive,2
I am still learning all the different things I can do with the Kindle Fire. So far I like it.,Positive,2
For the price this is a great tablet. Got it for my wife for Christmas and she loves it.,Positive,2
I love the preloaded apps. There are 1000 to choose from for all ages. The book selection is expansive. My 3 year old plays with it everyday. Its great for trips in the car or just being around the house. Great Buy!!! I enjoy playing with Alexa....ask her anything and she has an answer.,Positive,2
I like the contrast it is easy to read on outside.,Positive,2
"It's a good tab for the kids, keeps them busy. Wish the speed was faster.",Positive,2
Kindles are an excellent device for all book lovers,Positive,2
Recently upgraded from Alexa 1st generation. Really like the video screen and how much more it can do,Positive,2
It takes a little getting used to if you are used to Android,Positive,2
"I bought a kindle fire 2 years ago and enjoyed using it, I always wished for more storage and better connectivity. This new model has both and I can use with my amazon account.",Positive,2
"The new design, compared to my old kindle paperwhite and voyage, looked weird when I first got my Kindle Oasis. After I used it for a while (5 hours), I felt the design was kind of make sense. When I hold it with one hand (right hand), the centre of gravity position was right in my hand, so there was less change that I drop the kindle on my face(when I was laying on my bed, it happened a lot with my kindle voyage)",Positive,2
Bought my 5 daughters each one for Christmas & one for myself .. love the concept,Positive,2
I was resistant to putting down my real books and begin using a kindle. I'm so glad I did. It's so convenient to shop and instantly download a book. Plus no more storing hundreds on books in my house.,Positive,2
I wanted this when I first heard about it. My husband surprised me for my birthday. It was the best gift. Love Love it,Positive,2
"This is the right device to play with puzzles, you can avoid samsung/verizon constant advertisements. Only wish the battery would last longer or charge faster.",Positive,2
"The visual quality on the Fire 8 HD is amazing. It runs very fast and is easy to use, very durable.",Positive,2
"Its a great ereader but a little pricy. It has the same specs as the Voyage as far as pixels and procesor, which costs less. The only difference between this and the Voyage, is that it's much lighter, it's brighter (LEDs), and a longer battery life if you're using the cover. I've noticed the battery life drains much faster without the cover, but you'll still be able to read for hours without it. You would think it be water resistant, hence the name but it isn't. But then I don't plan on reading when it's raining or outside or while taking a bath. Overall, it's the best ereader Amazon currently has to offer but if you don't mind the price tag and want the best, then go for it! Voyage is still not a bad option though",Positive,2
"My children really enjoy this tablet. We have tried other brand tablets and those were not too kid friendly, even though they were kid tablets, and I found them a little advanced for my children's ages. So this tablet was perfectly age appropriate, and with a bigger memory than the previous, no complaints.",Positive,2
Great tablet for kids my boys love their tablets!!,Positive,2
"Great tablet for the grandkids, they love it great item",Positive,2
Got these on black Friday for early Christmas gifts. Very good buy on a pretty good tablet.,Positive,2
Smaller overall size with the same screen size of our older kindle fire. Faster processor.,Positive,2
This product is so very convenient I have day I don't want to get up and she helps me,Positive,2
No instructions. Either paper or electronic. How do I transfer apps & data from old kindle to new one 9,Neutral,1
"My 7-year old daughter saved up to by this. Her brother bought the 8GB about a year earlier, so new she needed more space. The OS is a bit clunky, and less intuitive then on higher priced tablets, but tough to beat the price. Speed isn't great for web or certain gaming apps, but fine for books. Parental controls are helpful, but take time to figure out and require more steps than seem necessary to change. Overall, OK first tablet for kids, considering the price. For adults, fine for e-books and VERY basic apps. Otherwise, best to pay up for better quality and OS efficiency.",Neutral,1
It was ok. You need Internet. The SDmini is a hassle.,Neutral,1
Decent somewhat slow. Netflix freezes up at times.,Neutral,1
Limited activities for my son to surf the web and do the things he likes to do!,Neutral,1
It is difficult to understand the instructions. I am still working on it.,Neutral,1
Now that now how to set it up I love my alexia lights,Neutral,1
"Great for first time tablet, but more advanced options available",Neutral,1
I purchased this to download books for school. Screen too small and OS was not to my liking,Neutral,1
Son loves it........................................,Neutral,1
I bought this as a Christmas gift for my wife and things started out well but lately my wife has been having issues with it. It hasn't been working as it should and its only been a little over 2 months since she's had it. I'm going to try a hard reset on it and see if that helps.,Neutral,1
Bought this tablet for 8 year old. It holding up good & she loves it. She enjoys playimg her games & being able to get on the internet.,Neutral,1
This was my second kindle and I didn't realize that it wasn't paper white . What a difference. I took this back to the store and exchanged for paper white.. this was not easy to read for me,Neutral,1
"Decent little tablet if you are not a game player. Tablet shuts down and I cant get it back on when I play games for long periods of time. It's not my ipad, that's for sure.",Neutral,1
"I have had every version of the Kindle since the week it was introduced and jumped at the chance for a Kindle Fire. I replaced the first one I had in 2014 and it was everything I wanted except this past summer it started overheating and got nonresponsive in the midday heat. So...I got this one. First of all I miss Swype. WHY get rid of it? Secondly I cannot put two of my favorite apps (which work on my old one) to work on this but lastly and most importantly: every once in awhile the screen freezes with a bunch of code ""shimmering"" in the background and only turning it off and/or leaving it for awhile brings it back to life AND it turns itself off. It seems to happen when I close a program and move to a new one. Aggravating and not what I expect from a product with which I have been happy in the past.",Neutral,1
It's an ok tablet because you need to have an Amazon account in order to download free apps,Neutral,1
"I love having real books, but these are great for travel and keeping your bookshelves lighter. I wish you could buy them with larger storage without having to buy the larger size pad. It also sucks that they are 4gig, but 1gig is taken up by the OS and advertising. Seriously? It reads PDFs and needs a 1 gig OS. Lame. The last thing I would change is being able to reverse the lettering so at night you could have white lettering and a black background, so it's less bright on the eyes.",Neutral,1
Have just started using Alexa and am looking forward to all the other things that are available to use with the unit,Neutral,1
"For me, the Kindle Black was not a good fit for me. There are times I read at night in bed when my husband is sleeping. This model doesn't have a back light so I'm unable to read at night without turning on a light and waking up my husband.So I returned and went for a Kindle Fire.",Neutral,1
I wish it has some more of the apps from the play store some are just not there,Neutral,1
"We bought the Echo Show to get the hyped benefits of Alexa, and home automation. After using for a week, we decided to return the Echo Show. Alexa just isn't ready for prime time. 90% of the time we got the ""I can't answer that"" response to questions. It's a waste of money for us. Say ""Alexa, Say good bye!""",Neutral,1
"This tablet is great for books, audible books, music and all things Amazon. The included browser (Silk) is not the best. I purchased expanded memory (64GB SD card) for about $30 more and a cover for about $20. The biggest issue I have with this unit is that it is slow (when compared to an iPad) and it tends to freeze every so often. For about 2.5x more money, consider an iPad instead.",Neutral,1
My daughter has had this tablet for almost 2 months and it works well.,Neutral,1
This device is a good if you are looking for a starter tablet for a young individual.,Neutral,1
Great device I use it on a regular basis. good investment,Neutral,1
I'm disappointed that it doesn't have a mirror display mode.,Neutral,1
"Kids will love this tablet, has a camera and kids can make movies with it. Wonderful for a child with a good imagination",Neutral,1
This tablet is a good kids tablet and or for prime users. Not a laptop replacement or for non amazon users,Neutral,1
I purchase this at the store and I was not given any bulb till I decide to do review,Neutral,1
Nothing too special or complicated. Fills the need.,Neutral,1
"At first I wanted to return this product, I bought it for my 2 yr old. I decided to keep it bc my husband liked it and of course my daughter likes it. I dnt like the fact you cant use the audible app on the kids version. I also bought it so my daughter could be independent, as far as the books none of them are read aloud. She came maneuver the games and movies tho. Its an ok product tho, I love Amazon. My daughter still likes my Samsung Tab better. Would recommend for older kids.",Neutral,1
"When I first bought it and got it started it wouldn't register my amazon account. I tried making a new account and I tried using my moms account but it would not work so I took it back and had geek squad look at it and they claimed it was defective and exchanged it for another one and the new one works wonderfully, haven't had any issues with it yet.",Neutral,1
Good tablet to take for my child to play on when out to dinner. Keeps him busy.,Neutral,1
the first worked fine for three weeks then stopped. took back and got a replacement. this one lasted almost a month. again took it back and was told I had to deal with Amazon.Found out thru Amazon webpage that units simply froze up and how to reset it. Was upset that store associate knew nothing about the product. Had to research everything myself.,Neutral,1
"I bought this as a gift to my parents. The unfortunate part was that I was a little misinformed about the connectivity between the tablet and a chrome cast that I purchases as well as part of the gift. The tablet is not compatible with the table and that was a little disappointing. Other than that, it's an alright product.",Neutral,1
"I purchased this since I bought my grandson this tablet for Christmas. The tablet is slow, considering price that's OK.I have problems with the charger, it won't charge when I am using the tablet, the charger needs to be plugged in and not moved for it to charge.For the price the tablet is OK.",Neutral,1
"Works fine on wifi, otherwise a little slow. My kid enjoys it though. For the price it's good.",Neutral,1
This does everything your smart phone does but with a larger screen for easier browsing and input.,Neutral,1
The show has some nice features but the audio quality isn’t the best for the price point. I got mine on sale and am just using it for a bedroom alarm clock. I can read the time without my glasses.I still use my Sonos Play 1 to listen to my sleep playlist and ny other music. Unless I missed something it seems like if I set the volume low at night to listen to music to go to sleep my alarm will not be loud enough. So I don’t use the Show for music much.,Neutral,1
"I love these Tablets, but the charging ports aren't the best. I bought 3 for Christmas and my kids take excellent care of them. I also do NOT them touch the tablets while they are charging. They have only had their tablets since Christmas day and they won't charge. I highly recommend getting the protection warranty for this item.",Neutral,1
There is nothing spectacular about this item but also nothing majorly wrong with it. The biggest flaw is that this is geared to kids and there is no way that I have found searching settings or online to lock the touch screen so that a video keeps playing if the child hits the screen. This means lots of times helping get back into the movie or show rather than just relaxing like an iPad can do with guided access activated.,Neutral,1
In my opinion this model is too small and feels cheap. And sd card slot.,Neutral,1
All I really use it for is music. The read downfall is it’s not Bluetooth so it has to be plugged in 24/7,Neutral,1
"The Echo was so good, I ended up getting the Echo Show as well. At first it was a device that I enjoyed using for various reasons, one being that I could ask Alexa to watch any YouTube videos I wanted to watch. Then one day, I asked Alexa to play a video and she responded by saying,""Google is not supported on Echo Show."" Until YouTube comes back as a skill, the Echo Show probably isn't worth the extra money. I'd say stick with the Echo if you have Amazon Music or Spotify, or the Echo Dot if you only use the echo as part of your smart home.",Neutral,1
No instructions. Either paper or electronic. How do I transfer apps & data from old kindle to new one 9,Neutral,1
"Great value for the money. However, the operating system is a bit clunky. Constant notifications and messages to delete. Some can be turned off, other seem to just keep appearing. The reader app surprisingly is less than intuitive.",Neutral,1
meh. it works. i find it difficult to navigate. i also have an ipad mini. this seems to be less intuitive than the ipad.,Neutral,1
"It's neat. It does what all other amazon alexis' do, but a little more. I feel as if should still do more.",Neutral,1
"This product, while the speaker is great, fails to deliver with a voice interface. Use your cell phone or computer and buy an Echo Dot.",Neutral,1
"These are great tablets for the kids and the price is wonderful with the warranty and the soft, yet bulky (a good thing in this instance) case. The only thing I wish, was that it could access the Google Play Store so my kids could watch the movies we have in our Google Play Movies account.",Neutral,1
I only bought this as a travel companion when I fly. It was cheap and functional.,Neutral,1
Very helpful and friendly. Didn't have too much selection on what I was looking for. But found what I needed.,Neutral,1
"Not a lot of memory, dies fast. Great games........",Neutral,1
"The three star review is for the situation described here, not the quality of the unit. I ordered this online and picked it up in store. The package was very securely sealed the seals appeared to be factory. The Echo was wrapped in plastic and looked like it had never been out of the package. When I hooked it up, however, it said that the unit was registered to someone else. It wasn't a problem to get it registered to me and the unit works fine. I spoke to both Amazon and Target about this, and neither could tell me what happened. I was offered an exchange if I wished. I chose to keep the original unit, but I wanted to make others aware of the issue. I have one theory. Target has a buyer who purchased a lot of these for Target resale, and they are all registered to this person. I guess I'll never know. The Echo itself works fine and I'm very happy with it. After you hook it up, make sure to go to settings and download the latest updates. Then you should be good to go.",Neutral,1
is a God tablet but the camera could be a little better,Neutral,1
"I'm a big fan of Amazon and their products, but this tablet is just ok. The build quality is great and the image is very good, but the software is mediocre at best. Worth the price.",Neutral,1
"I got this to work with my Arlo Pro camera, and it works well. I am able to have my camera for driveway and front door come up on command. I hate that I cannot get my Samsung TV to come on with a verbal request. I guess I will have to buy the plug for it. This was very easy to set up. Downloaded the app, and plugged it in, viola it walks you through the setup.",Neutral,1
It's unfair for me to rate this product cause I have not even taken it out of the box to set it up.,Neutral,1
I’ve asked itquestions and answers were unknown and could not help me,Neutral,1
"this is my first experience with Alexa. hard to command, I guess because this is my first time. I did have to reset because she stopped working. I am reading up on Alexa more so I’ll know how to command her.",Neutral,1
"In my opinion it's very slow for internet use. Good for our 5 yr old to use but we purchased this for her to do online curriculums, which is almost impossible to do with this tablet because of the speed. Our internet connection is great with every other laptop and computer in the house.",Neutral,1
Just an average Alexa option. Does show a few things on screen but still limited.,Neutral,1
Have had it for a while noe. A littlebit unusual to press so hard to change page but now starting to get used to it.,Neutral,1
Battery dies after an hour...should last longer for the money. Will not bold charge.,Neutral,1
When I tried to hook it up it wouldn't recognize my internet. I will have to contact best buy when I get home and have their guys come out to see if they can get it working,Neutral,1
"We wanted to see how this would work and it's not super accurate, but kind of fun",Neutral,1
"THE ECHO SHOW WORKS WELL, BUT AT THIS TIME IT CANNOT CONNECT TO YOUTUBE. MAYBE WHEN AMAZON WAKES UP THE CONNECTION WILL BE RETURNED.",Neutral,1
Just an average Alexa option. Does show a few things on screen but still limited.,Neutral,1
I'm disappointed. Sometimes gives doesn't understand,Neutral,1
for 33 dollars its a great option. although it was a black friday special its perfect for kids especially considering the amount of damage it can handle!,Neutral,1
"Alexa may be new, but I would have thought some of the simple commands she would have been able to respond to already. For the amount Amazon charges, it should come with better instructions, including what specifically to download into one's device (iPhone, etc.) so as to make some apps ready to go. Amazon dropped the ball on this one.",Neutral,1
"Hoped this Fire HD 8 would be faster than my old HD Fire...not so much, I guess I expected the new Fire HD 8 to perform better but it still lags and is slow to load information while surfing the Internet. My wife's Ipad is light years ahead on this one, but what do you expect from a 60-70 dollar tablet.",Neutral,1
Wish it was easier to understand set up so children don't accidently charge to my account.,Neutral,1
Not many apps. The first one was already returned...no power issue after 1week..I hope the second one is fine...,Neutral,1
"The specs are good, feels solid, can't stand the OS. Too many ads you can't get rid of, not as customizable as I'd like. If that doesn't bother you, it's a good tablet for the price. Don't expect to run games on it, not powerful enough for that.",Neutral,1
Thought it was to be better than what it is. Mother in law can play games an Facebook on it. Next time I will buy her a samsung,Neutral,1
"My father upgraded from the original Kindle Fire to this model, and he's very happy with it. It doesn't compete with more mainstream tablets, but he likes the Kindle's system for downloading library books.",Neutral,1
"it has great durability, but lacks great sound. The picture quality is just ok",Neutral,1
"Worse graphics, won't keep a wireless connection,overall not satisfied",Neutral,1
"I love having real books, but these are great for travel and keeping your bookshelves lighter. I wish you could buy them with larger storage without having to buy the larger size pad. It also sucks that they are 4gig, but 1gig is taken up by the OS and advertising. Seriously? It reads PDFs and needs a 1 gig OS. Lame. The last thing I would change is being able to reverse the lettering so at night you could have white lettering and a black background, so it's less bright on the eyes.",Neutral,1
I absolutely love how u. An switch from dif accounts,Neutral,1
It's an ok tablet because you need to have an Amazon account in order to download free apps,Neutral,1
"bought a few kindles in the past but this time one of it came defective. the port was bent and it was hard to charge but still possible. comes in 4 different color. was 16gb enough space for kids, has camera, ok quality not the best but ok for pics taken by kids",Neutral,1
"It's great for beginners, like children, but very limiting for me. I can't use many apps because it doesn't allow me to use the Google play store.",Neutral,1
"The device works well mechanically, however, the software needs a lot of work. Half of my commands are not understood and I have cameras linked up to it that’s rarely recognized.",Neutral,1
Good tablet for kids. Lots of appts to download for games,Neutral,1
The kindle is good to download apps for books catch up with reading,Neutral,1
"This does the same things as the other echos but has a screen. The sound is comparable to the echo which is good. The screen is small, not hd, and not touch screen. You only can call other echo users.If you have an echo don't run out and buy you can do all on a laptop. If you are looking at an echo having the screen might be worth the extra bucks,",Neutral,1
For books games and internet it's perfectSound is a ittle weak,Neutral,1
"These are great tablets for the kids and the price is wonderful with the warranty and the soft, yet bulky (a good thing in this instance) case. The only thing I wish, was that it could access the Google Play Store so my kids could watch the movies we have in our Google Play Movies account.",Neutral,1
"Much better than the echo dot. However, the fact that you have to touch the button to activate it instead of just talking to it is a bit annoying. Speaker is fairly powerful for its size.",Neutral,1
It was a cool device but my main issue that it couldn’t play playlists the I had stored on the sonos app. It only played streaming services,Neutral,1
"Not happy at first as battery was totally dead when I got it. However, after charging, it's working ok",Neutral,1
like the Alexa but needs to be more interactive like suri.,Neutral,1
"I purchased this since I bought my grandson this tablet for Christmas. The tablet is slow, considering price that's OK.I have problems with the charger, it won't charge when I am using the tablet, the charger needs to be plugged in and not moved for it to charge.For the price the tablet is OK.",Neutral,1
I bought this as s present for my 65 year old grandma. She loves it. Very easy to operate. No issues,Neutral,1
Good starter unit. Easy for a beginner to use. Priced low to give you a taste of the tablet world.,Neutral,1
"Took it out of the box and played with it for a while. Then I lost connection with it and now it no longer recognizes my phone #. Called Amazon they said they would work on the problem, no call back yet.",Neutral,1
Clear reading in bright light outdoor settings. Long battery life.,Neutral,1
I hate amazon app store. Nothing good in there. The tablet is too slow for what I do... it is good for reading only....,Neutral,1
"I'm thinking this must of been a fluke, it never worked. Had to return item but received full refund",Negative,0
This is not like other android tablets in a bad way.,Negative,0
"Difficult to purchase. No stock in 6 stores, no order online or ship to store available. When it did become available it did not work. Once it turned on, I couldn't get any further. I could not log onto wifi network, though other items in my household work. Also the product wouldnt move past setting up the clock. Tried 3 days, gave up and returned the item.",Negative,0
just okay! Product was for my girlfriend. Doesn't appear she uses it much except to steam music. Most of the questions I ask it I get nothing. I like Siri better.,Negative,0
"was cheap, can not run chrome stuff, returned to store.",Negative,0
"The reviews on this on Amazon seemed awesome. Little did I know that there is a chronic problem with the port on these tablets. We just bought this for Christmas and went to charge it for the first time. Nothing. We already loaded (and paid for) several apps, and now we're out that money. Also the charging cord that came with it appears it has been used before - there's some wear at the edge of it. So I went online to see if I could find this issue and there it is - everywhere. This is a problem that has been around for years, but Android - who is the ultimate culprit, has failed to fix it at the source. When you plug in the charger, there's no 'click' so you know it's in place. It just slides in and out. We've had Apple products for several years and never had an issue, then the first Droid product we purchase can't even be charged from the beginning. This will be going back to BestBuy - and will buy another iPad Mini - costs more, but is much much more reliable.",Negative,0
"Hard to use, Lots of ads, and Randomly closes apps",Negative,0
horrible...just like the other 7 i have owned ONLY due to warranties,Negative,0
My first tablet was a Kindle. I was curious about the updated version. Very disappointed,Negative,0
"Purchased for my Father In Law - this was the most frustrating experience. Not user friendly - not friendly at all. Stick with a name brand tablet - Apple, Samsung, etc.. Avoid this device at all costs.",Negative,0
I can't update Facebook and a few other apps. It's not what I expected.,Negative,0
I didn't find it useful for my 4yr old daugter so i returned it the other day.All the games in it r so kiddy games.,Negative,0
"Waste of money, ask Alexa a question and you are lucky if you get an answer instead of I'm not sure.",Negative,0
it would not load my books proper. took a dozen tries erasing an dreregistering. screen too dark,Negative,0
Looking at the picture and seeing it was 8th generation I assumed it would be a great device. I had an original Kindle but I stopped using it because it wasn't backlit. I thought an 8th generation would be backlit and the picture makes it look backlit but it is not. After 25 minutes on the phone with Amazon trying to make it brighter the technician finally realized that 8th generation is not supported with backlights. I took it back to Target and purchased The Paperwhite which was more money but definitely worth it. The 8th generation one is smaller so I assumed that was the reason for the price difference. Target made the experience pleasant.,Negative,0
"I am reading positive reviews and wish I could say the same. Best Buy is great, so this is not a reflection on them, just our experience with the product. We have had this product for just over one month and I have had to contact Amazon Support, perform factory resets to get content to show up, and the device is poorly designed as the SD card pops out constantly, which messes with DRM, and does you no good if this happens when you are not connected to the Internet to fix it. We are returning, and spending the extra money for an iPad. Will not purchase another kindle device unfortunately just based on this experience. If you just use the device for reading, maybe this is for you, but trying to download information to SD card and actually being able to access it has been beyond frustrating, as well as having to do factory resets so content owned/ already purchased on Amazon would show up on the device in the library.",Negative,0
I I thought the buy For my child bc the kids mode but it was very poor,Negative,0
Not a very responsive program. Very limited information program. Not user friendly.,Negative,0
"HUB is almost useless. Ended up using spare Philips HUB. The HUB built in would only ""discover"" 2 out of 12 bulbs. 3 days of trying. HUE bridge 12 out of 12 first try.",Negative,0
"Cumbersome, complicated and not kid friendly..... went with Apple, suggesting you do too.",Negative,0
"For the price, you should be able to use as a speaker when talking on the phone. I had to use my daughter's Beats Pill for this function, therefore it's not worth all the hype.",Negative,0
"The screen is too dark, and cannot adjust the brightness",Negative,0
The protector was not made for the Fire 7 as it was to large and had no directions that were coherent. Worse purchase from Best Buy ever.,Negative,0
